FBgn;Function
FBgn0013675;OXPHOS
FBgn0032833;OXPHOS
FBgn0032833;OXPHOS
FBgn0033020;OXPHOS
FBgn0033020;OXPHOS
FBgn0019624;OXPHOS
FBgn0019624;OXPHOS
FBgn0031830;OXPHOS
FBgn0031830;OXPHOS
FBgn0031831;OXPHOS
FBgn0031831;OXPHOS
FBgn0034877;OXPHOS
FBgn0034877;OXPHOS
FBgn0036830;OXPHOS
FBgn0036830;OXPHOS
FBgn0050093;OXPHOS
FBgn0050093;OXPHOS
FBgn0031066;OXPHOS
FBgn0031066;OXPHOS
FBgn0015031;OXPHOS
FBgn0015031;OXPHOS
FBgn0051644;OXPHOS
FBgn0051644;OXPHOS
FBgn0040529;OXPHOS
FBgn0040529;OXPHOS
FBgn0037579;OXPHOS
FBgn0037579;OXPHOS
FBgn0265132;OXPHOS
FBgn0040773;OXPHOS
FBgn0040773;OXPHOS
FBgn0265342;OXPHOS
FBgn0265342;OXPHOS
FBgn0263911;OXPHOS
FBgn0263911;OXPHOS
FBgn0051648;OXPHOS
FBgn0051648;OXPHOS
FBgn0034938;OXPHOS
FBgn0030610;OXPHOS
FBgn0030610;OXPHOS
FBgn0284248;OXPHOS
FBgn0284248;OXPHOS
FBgn0086907;OXPHOS
FBgn0086907;OXPHOS
FBgn0011211;OXPHOS
FBgn0011211;OXPHOS
FBgn0036568;OXPHOS
FBgn0036568;OXPHOS
FBgn0010217;OXPHOS
FBgn0010217;OXPHOS
FBgn0020235;OXPHOS
FBgn0020235;OXPHOS
FBgn0028342;OXPHOS
FBgn0028342;OXPHOS
FBgn0014391;OXPHOS
FBgn0014391;OXPHOS
FBgn0051477;OXPHOS
FBgn0051477;OXPHOS
FBgn0016691;OXPHOS
FBgn0016691;OXPHOS
FBgn0013672;OXPHOS
FBgn0013672;OXPHOS
FBgn0019644;OXPHOS
FBgn0019644;OXPHOS
FBgn0039830;OXPHOS
FBgn0039830;OXPHOS
FBgn0016120;OXPHOS
FBgn0016120;OXPHOS
FBgn0038224;OXPHOS
FBgn0038224;OXPHOS
FBgn0035032;OXPHOS
FBgn0035032;OXPHOS
FBgn0031941;OXPHOS
FBgn0031941;OXPHOS
FBgn0010612;OXPHOS
FBgn0010612;OXPHOS
FBgn0016119;OXPHOS
FBgn0016119;OXPHOS
FBgn0013673;OXPHOS
FBgn0013673;OXPHOS
FBgn0263598;OXPHOS
FBgn0263598;OXPHOS
FBgn0032464;OXPHOS
FBgn0032464;OXPHOS
FBgn0265262;OXPHOS
FBgn0265262;OXPHOS
FBgn0005671;OXPHOS
FBgn0005671;OXPHOS
FBgn0287825;OXPHOS
FBgn0287825;OXPHOS
FBgn0040377;OXPHOS
FBgn0040377;OXPHOS
FBgn0022097;OXPHOS
FBgn0022097;OXPHOS
FBgn0033706;OXPHOS
FBgn0033706;OXPHOS
FBgn0283535;OXPHOS
FBgn0283535;OXPHOS
FBgn0262512;OXPHOS
FBgn0262512;OXPHOS
FBgn0037402;OXPHOS
FBgn0037402;OXPHOS
FBgn0030440;OXPHOS
FBgn0283536;OXPHOS
FBgn0283536;OXPHOS
FBgn0027779;OXPHOS
FBgn0027779;OXPHOS
FBgn0032373;OXPHOS
FBgn0032373;OXPHOS
FBgn0028669;OXPHOS
FBgn0028669;OXPHOS
FBgn0028671;OXPHOS
FBgn0028671;OXPHOS
FBgn0038613;OXPHOS
FBgn0038613;OXPHOS
FBgn0028670;OXPHOS
FBgn0028670;OXPHOS
FBgn0262736;OXPHOS
FBgn0262736;OXPHOS
FBgn0032294;OXPHOS
FBgn0032294;OXPHOS
FBgn0262513;OXPHOS
FBgn0262513;OXPHOS
FBgn0028667;OXPHOS
FBgn0028667;OXPHOS
FBgn0028668;OXPHOS
FBgn0028668;OXPHOS
FBgn0028662;OXPHOS
FBgn0028662;OXPHOS
FBgn0262514;OXPHOS
FBgn0262514;OXPHOS
FBgn0285910;OXPHOS
FBgn0285910;OXPHOS
FBgn0039058;OXPHOS
FBgn0039058;OXPHOS
FBgn0028663;OXPHOS
FBgn0028663;OXPHOS
FBgn0035521;OXPHOS
FBgn0035521;OXPHOS
FBgn0028664;OXPHOS
FBgn0028664;OXPHOS
FBgn0038458;OXPHOS
FBgn0038458;OXPHOS
FBgn0262515;OXPHOS
FBgn0262515;OXPHOS
FBgn0016687;OXPHOS
FBgn0016687;OXPHOS
FBgn0033246;FA biosynthesis
FBgn0033246;FA biosynthesis
FBgn0029945;FA biosynthesis
FBgn0029945;FA biosynthesis
FBgn0036691;FA biosynthesis
FBgn0036691;FA biosynthesis
FBgn0287184;FA biosynthesis
FBgn0287184;FA biosynthesis
FBgn0283427;FA biosynthesis
FBgn0283427;FA biosynthesis
FBgn0042627;FA biosynthesis
FBgn0042627;FA biosynthesis
FBgn0037356;FA biosynthesis
FBgn0029648;FA biosynthesis
FBgn0033883;FA biosynthesis
FBgn0033883;FA biosynthesis
FBgn0036821;FA biosynthesis
FBgn0263120;FA biosynthesis
FBgn0263120;FA biosynthesis
FBgn0027348;FA biosynthesis
FBgn0027348;FA biosynthesis
FBgn0286723;FA biosynthesis
FBgn0286723;FA biosynthesis
FBgn0040064;FA elongation
FBgn0040064;FA elongation
FBgn0025352;FA elongation
FBgn0025352;FA elongation
FBgn0028479;FA elongation
FBgn0028479;FA elongation
FBgn0033879;FA elongation
FBgn0033879;FA elongation
FBgn0033883;FA elongation
FBgn0033883;FA elongation
FBgn0030057;FA elongation
FBgn0030057;FA elongation
FBgn0032358;FA elongation
FBgn0032358;FA elongation
FBgn0036128;FA elongation
FBgn0036128;FA elongation
FBgn0052072;FA elongation
FBgn0052072;FA elongation
FBgn0034383;FA elongation
FBgn0034382;FA elongation
FBgn0034382;FA elongation
FBgn0260960;FA elongation
FBgn0260960;FA elongation
FBgn0029975;FA elongation
FBgn0029975;FA elongation
FBgn0032394;FA elongation
FBgn0032394;FA elongation
FBgn0032524;FA elongation
FBgn0032524;FA elongation
FBgn0035471;FA elongation
FBgn0035471;FA elongation
FBgn0029969;FA oxydation
FBgn0029969;FA oxydation
FBgn0035203;FA oxydation
FBgn0035203;FA oxydation
FBgn0040064;FA oxydation
FBgn0040064;FA oxydation
FBgn0025352;FA oxydation
FBgn0025352;FA oxydation
FBgn0028479;FA oxydation
FBgn0028479;FA oxydation
FBgn0033879;FA oxydation
FBgn0033879;FA oxydation
FBgn0034629;FA oxydation
FBgn0034629;FA oxydation
FBgn0034628;FA oxydation
FBgn0034628;FA oxydation
FBgn0027572;FA oxydation
FBgn0027572;FA oxydation
FBgn0031813;FA oxydation
FBgn0031813;FA oxydation
FBgn0032775;FA oxydation
FBgn0029924;FA oxydation
FBgn0038742;FA oxydation
FBgn0038742;FA oxydation
FBgn0037999;FA oxydation
FBgn0035811;FA oxydation
FBgn0035811;FA oxydation
FBgn0036824;FA oxydation
FBgn0034432;FA oxydation
FBgn0034432;FA oxydation
FBgn0031824;FA oxydation
FBgn0036821;FA oxydation
FBgn0263120;FA oxydation
FBgn0263120;FA oxydation
FBgn0027348;FA oxydation
FBgn0027348;FA oxydation
FBgn0286723;FA oxydation
FBgn0286723;FA oxydation
FBgn0261862;FA oxydation
FBgn0261862;FA oxydation
FBgn0035383;FA oxydation
FBgn0035383;FA oxydation
FBgn0032160;FA oxydation
FBgn0032162;FA oxydation
FBgn0032161;FA oxydation
FBgn0035169;FA oxydation
FBgn0035169;FA oxydation
FBgn0011768;FA oxydation
FBgn0011768;FA oxydation
FBgn0000055;FA oxydation
FBgn0000055;FA oxydation
FBgn0012036;FA oxydation
FBgn0012036;FA oxydation
FBgn0051075;FA oxydation
FBgn0036857;FA oxydation
FBgn0036857;FA oxydation
FBgn0003074;PPP
FBgn0003074;PPP
FBgn0004057;PPP
FBgn0004057;PPP
FBgn0037147;PPP
FBgn0030239;PPP
FBgn0030239;PPP
FBgn0004654;PPP
FBgn0004654;PPP
FBgn0050499;PPP
FBgn0050499;PPP
FBgn0036784;PPP
FBgn0037607;PPP
FBgn0023477;PPP
FBgn0023477;PPP
FBgn0050410;PPP
FBgn0050410;PPP
FBgn0033735;PPP
FBgn0033735;PPP
FBgn0025640;PPP
FBgn0032424;PPP
